epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1236,1.53128,2.01753,1.15743,0.72817,0.69342,0.73228,0.39371,1.55932,2.17539,1.15034,0.000662698,0.000662698,0.000662698
2,38.195,1.5368,1.4302,1.20435,0.75845,0.73635,0.77737,0.42663,1.48726,2.41912,1.09521,0.00130304,0.00130304,0.00130304
3,56.7884,1.49394,1.26696,1.19347,0.71309,0.76549,0.77863,0.39304,1.47006,3.18851,1.11596,0.00191699,0.00191699,0.00191699
4,75.1221,1.50344,1.2128,1.19208,0.79461,0.84735,0.86198,0.47821,1.42769,1.87089,1.15409,0.0018812,0.0018812,0.0018812
5,93.2004,1.42406,1.11218,1.1678,0.75627,0.7146,0.77251,0.46114,1.38663,1.63805,1.1166,0.0018416,0.0018416,0.0018416
6,111.551,1.40007,1.07136,1.15694,0.87307,0.79204,0.88084,0.53787,1.36619,0.98523,1.06222,0.001802,0.001802,0.001802
7,129.645,1.37731,1.00539,1.13214,0.80589,0.78319,0.84149,0.49065,1.46155,1.14987,1.17976,0.0017624,0.0017624,0.0017624
8,148.056,1.31995,0.95665,1.10854,0.81673,0.83806,0.84394,0.51889,1.2783,1.22218,1.04537,0.0017228,0.0017228,0.0017228
9,166.152,1.29224,0.9462,1.10551,0.88674,0.83143,0.9069,0.56117,1.26272,1.28166,1.05088,0.0016832,0.0016832,0.0016832
10,184.345,1.29726,0.92369,1.10392,0.86762,0.86997,0.90598,0.5586,1.31592,0.88832,1.05705,0.0016436,0.0016436,0.0016436
11,202.477,1.28241,0.89218,1.09567,0.8935,0.86504,0.92772,0.58206,1.20638,0.94957,1.00939,0.001604,0.001604,0.001604
12,220.625,1.25338,0.87441,1.07753,0.90443,0.86947,0.94298,0.59655,1.17523,1.06914,1.01236,0.0015644,0.0015644,0.0015644
13,238.726,1.23936,0.84501,1.07746,0.92547,0.87907,0.94596,0.59475,1.18373,0.8335,1.00066,0.0015248,0.0015248,0.0015248
14,256.772,1.24069,0.84403,1.07339,0.92409,0.86187,0.93058,0.60721,1.16416,0.90013,1.00426,0.0014852,0.0014852,0.0014852
15,275.237,1.2004,0.80718,1.0591,0.86432,0.88792,0.9228,0.60113,1.14726,0.92066,0.98484,0.0014456,0.0014456,0.0014456
16,293.992,1.19965,0.79163,1.06177,0.90646,0.85759,0.9375,0.60026,1.18645,0.97827,1.00602,0.001406,0.001406,0.001406
17,312.318,1.19487,0.7822,1.05093,0.90326,0.88829,0.93902,0.61023,1.15163,0.76401,0.97614,0.0013664,0.0013664,0.0013664
18,330.598,1.18835,0.78631,1.04759,0.90599,0.88053,0.94885,0.61483,1.17179,0.81582,0.987,0.0013268,0.0013268,0.0013268
19,348.932,1.1718,0.76156,1.04465,0.93,0.91126,0.95896,0.63982,1.17148,0.71854,0.98913,0.0012872,0.0012872,0.0012872
20,367.264,1.1586,0.76912,1.0364,0.90265,0.92307,0.94881,0.61621,1.17472,0.98307,0.98135,0.0012476,0.0012476,0.0012476
21,385.865,1.16601,0.74321,1.03599,0.92856,0.92035,0.96444,0.62497,1.11507,0.79403,0.97209,0.001208,0.001208,0.001208
22,404.455,1.147,0.73716,1.03226,0.93795,0.89602,0.95749,0.62269,1.15023,0.68598,0.97448,0.0011684,0.0011684,0.0011684
23,422.66,1.13892,0.72584,1.03131,0.88829,0.89722,0.93829,0.61589,1.10906,0.93004,0.97284,0.0011288,0.0011288,0.0011288
